,0
compose_post_service_cpu,79.23757720017163
compose_post_service_memory,10.727709269940947
compose_post_service_replicas,2.166552602162233
home_timeline_redis_cpu,150.25540046866385
home_timeline_redis_memory,181.78662760290962
home_timeline_redis_replicas,2.577620630325379
home_timeline_service_cpu,68.24900957382661
home_timeline_service_memory,3.8417108595323466
home_timeline_service_replicas,2.0768166167927484
jaeger_cpu,54.85705731314471
jaeger_memory,447.5839623742521
jaeger_replicas,1.0106197668595542
media_frontend_cpu,0.06669145243316807
media_frontend_memory,0.19908384051062003
media_frontend_replicas,1.0
media_memcached_cpu,0.05118600960970059
media_memcached_memory,0.026072835862061005
media_memcached_replicas,1.0
media_mongodb_cpu,1.3753579452668883
media_mongodb_memory,3.3683320586791408
media_mongodb_replicas,1.0
media_service_cpu,7.438139253479815
media_service_memory,1.3099641074093555
media_service_replicas,1.0
nginx_thrift_cpu,427.230485091508
nginx_thrift_memory,8.659575399226476
nginx_thrift_replicas,2.9261369721992123
post_storage_memcached_cpu,33.531658519889454
post_storage_memcached_memory,23.947922807584888
post_storage_memcached_replicas,1.0
post_storage_mongodb_cpu,69.72806618187836
post_storage_mongodb_memory,183.34573975021388
post_storage_mongodb_replicas,1.6084740010642522
post_storage_service_cpu,121.31124747561148
post_storage_service_memory,10.385185623443578
post_storage_service_replicas,2.4010673783049366
social_graph_mongodb_cpu,1.4362444653993036
social_graph_mongodb_memory,49.011758106712406
social_graph_mongodb_replicas,1.0
social_graph_redis_cpu,41.26313559546527
social_graph_redis_memory,1.2833700253100477
social_graph_redis_replicas,1.0
social_graph_service_cpu,15.542516745562649
social_graph_service_memory,9.118816064498013
social_graph_service_replicas,1.0
text_service_cpu,118.79316796424077
text_service_memory,3.1797683608815985
text_service_replicas,2.2629618735809798
unique_id_service_cpu,8.081604814005157
unique_id_service_memory,0.7688572620068284
unique_id_service_replicas,1.0
url_shorten_memcached_cpu,0.059116269251222625
url_shorten_memcached_memory,0.03451732593931472
url_shorten_memcached_replicas,1.0
url_shorten_mongodb_cpu,33.6311603679446
url_shorten_mongodb_memory,247.71064173896764
url_shorten_mongodb_replicas,1.149036421315224
url_shorten_service_cpu,48.44060022802834
url_shorten_service_memory,5.675518272175138
url_shorten_service_replicas,1.6260775239449696
user_memcached_cpu,13.911649486949516
user_memcached_memory,0.2830862009663552
user_memcached_replicas,1.0
user_mention_service_cpu,27.962731253011402
user_mention_service_memory,5.2272003282849795
user_mention_service_replicas,1.0
user_mongodb_cpu,1.453224766440807
user_mongodb_memory,36.87279534915238
user_mongodb_replicas,1.0
user_service_cpu,7.876588424267588
user_service_memory,1.4958917121119215
user_service_replicas,1.0
user_timeline_mongodb_cpu,102.29332083835146
user_timeline_mongodb_memory,170.80109333824086
user_timeline_mongodb_replicas,2.604403607251801
user_timeline_redis_cpu,73.5114327082741
user_timeline_redis_memory,65.87709070496025
user_timeline_redis_replicas,1.226922197326226
user_timeline_service_cpu,108.17418351601069
user_timeline_service_memory,34.005037889764836
user_timeline_service_replicas,2.140941356795752
