row,a,b
compose_post_service_cpu,115.97279628108063,79.23757720017163
compose_post_service_memory,9.412197235842998,10.727709269940949
compose_post_service_replicas,2.4657656011875906,2.166552602162233
home_timeline_redis_cpu,185.53605481881084,150.25540046866385
home_timeline_redis_memory,121.18956599653345,181.7866276029096
home_timeline_redis_replicas,1.9113694915775268,2.577620630325379
home_timeline_service_cpu,60.81863274937268,68.24900957382661
home_timeline_service_memory,6.777899950403575,3.8417108595323466
home_timeline_service_replicas,1.9333333333333331,2.0768166167927484
jaeger_cpu,35.07409296937409,54.85705731314471
jaeger_memory,360.8055867089918,447.5839623742521
jaeger_replicas,1.0,1.0106197668595542
media_frontend_cpu,0.0780546155588708,0.066691452433168
media_frontend_memory,0.226146187623685,0.19908384051062
media_frontend_replicas,1.0,1.0
media_memcached_cpu,0.1115206593631815,0.0511860096097005
media_memcached_memory,0.0227600072725591,0.026072835862061
media_memcached_replicas,1.0,1.0
media_mongodb_cpu,1.392439121831749,1.3753579452668885
media_mongodb_memory,3.324219254801268,3.3683320586791408
media_mongodb_replicas,1.0,1.0
media_service_cpu,7.807695310354343,7.438139253479815
media_service_memory,1.3590611313499836,1.3099641074093555
media_service_replicas,1.0,1.0
nginx_thrift_cpu,245.5002598025052,428.8613671169372
nginx_thrift_memory,7.721125044032507,8.659575399226476
nginx_thrift_replicas,3.1233884733659942,2.9261369721992123
post_storage_memcached_cpu,41.14193872289251,33.531658519889454
post_storage_memcached_memory,18.543684762107144,23.947922807584888
post_storage_memcached_replicas,1.0,1.0
post_storage_mongodb_cpu,157.12855058852338,69.72806618187836
post_storage_mongodb_memory,98.19074911831356,183.34573975021388
post_storage_mongodb_replicas,2.8666666666666667,1.6084740010642522
post_storage_service_cpu,151.61020173669533,121.31124747561148
post_storage_service_memory,9.312429575176596,10.385185623443578
post_storage_service_replicas,2.036336579906836,2.401067378304937
social_graph_mongodb_cpu,2.323917156720181,1.4362444653993036
social_graph_mongodb_memory,44.48507859599221,49.011758106712406
social_graph_mongodb_replicas,1.0,1.0
social_graph_redis_cpu,41.956889324440894,41.26313559546527
social_graph_redis_memory,1.749314788483296,1.2833700253100475
social_graph_redis_replicas,1.18133634311129,1.0
social_graph_service_cpu,16.85201339547439,15.542516745562647
social_graph_service_memory,11.14001205957072,9.118816064498011
social_graph_service_replicas,1.0,1.0
text_service_cpu,122.87307010381984,118.79316796424077
text_service_memory,4.771612835287893,3.1797683608815985
text_service_replicas,2.4276188608044165,2.26296187358098
unique_id_service_cpu,9.045227810467605,8.081604814005157
unique_id_service_memory,1.6335760575808684,0.7688572620068284
unique_id_service_replicas,1.0,1.0
url_shorten_memcached_cpu,0.0593673685586909,0.0591162692512226
url_shorten_memcached_memory,0.0327939279303364,0.0345173259393147
url_shorten_memcached_replicas,1.0,1.0
url_shorten_mongodb_cpu,38.65415862374384,33.6311603679446
url_shorten_mongodb_memory,122.7662549833396,247.71064173896764
url_shorten_mongodb_replicas,1.3046923860520618,1.149036421315224
url_shorten_service_cpu,45.83417104065327,48.44060022802834
url_shorten_service_memory,6.971662349955499,5.675518272175138
url_shorten_service_replicas,1.480240220744968,1.6260775239449696
user_memcached_cpu,13.338654599194468,13.911649486949516
user_memcached_memory,0.3227144457624374,0.2830862009663552
user_memcached_replicas,1.0,1.0
user_mention_service_cpu,27.001187620386485,27.9627312530114
user_mention_service_memory,3.2929113460360897,5.22720032828498
user_mention_service_replicas,1.0,1.0
user_mongodb_cpu,1.4562790570900848,1.453224766440807
user_mongodb_memory,34.709053019785884,36.87279534915238
user_mongodb_replicas,1.0,1.0
user_service_cpu,7.735055261513638,7.876588424267588
user_service_memory,2.2395094361890995,1.4958917121119215
user_service_replicas,1.0,1.0
user_timeline_mongodb_cpu,173.16942451839492,102.29332083835146
user_timeline_mongodb_memory,84.07318532715995,170.80109333824086
user_timeline_mongodb_replicas,3.151719107619417,2.604403607251801
user_timeline_redis_cpu,407.8176155404783,73.5114327082741
user_timeline_redis_memory,19.25427948765381,65.87709070496025
user_timeline_redis_replicas,3.198610809572042,1.226922197326226
user_timeline_service_cpu,120.93835695310878,108.17418351601069
user_timeline_service_memory,16.70553745764332,34.00503788976484
user_timeline_service_replicas,2.247962040011649,2.140941356795752
